Id,Name,Shape,Container,Label,Layer,Owner,Status,Gate,Dependencies
ios001,IoS-001 Asset Registry,Process,DATA_LAYER,Asset Registry & Price Data Acquisition,1,STIG,ACTIVE,G4,
ios002,IoS-002 Indicator Engine,Process,PROCESS_LAYER,Technical Indicator Calculation,2,STIG,ACTIVE,G4,
ios003,IoS-003 Perception Layer,Process,PERCEIVE_LAYER,Market Perception & Regime Detection,3,FINN,ACTIVE,G4,
ios003b,IoS-003B Intraday Delta,Process,PERCEIVE_LAYER,Intraday Regime-Delta (Ephemeral),3,FINN,G0_SUBMITTED,G0,"IoS-003,IoS-008"
ios004,IoS-004 Forecast Engine,Process,PERCEIVE_LAYER,Regime Forecasting,3,FINN,ACTIVE,G4,
ios005,IoS-005 Calibration Engine,Process,CALIBRATE_LAYER,Model Calibration & Validation,4,FINN,ACTIVE,G4,
ios006,IoS-006 Macro Factors,Process,PROCESS_LAYER,Global Macro & Factor Integration,2,FINN,ACTIVE,G4,"IoS-002,IoS-005"
ios007,IoS-007 Alpha Graph,Process,ALPHA_LAYER,Causal Reasoning Network,5,FINN,ACTIVE,G4,
ios008,IoS-008 Execution Mandates,Process,ALPHA_LAYER,Execution Authority Definitions,5,LINE,ACTIVE,G4,
ios009,IoS-009 Hindsight Mining,Process,ALPHA_LAYER,Hindsight Alpha Discovery (Q5),5,FINN,ACTIVE,G4,
ios010,IoS-010 Surprise Engine,Process,CALIBRATE_LAYER,Surprise Detection & Classification,4,FINN,ACTIVE,G4,
ios011,IoS-011 Learning Velocity,Process,CALIBRATE_LAYER,Learning Velocity Index,4,FINN,ACTIVE,G4,
ios012,IoS-012 Risk Management,Process,ALPHA_LAYER,Portfolio Risk Control,5,LINE,ACTIVE,G4,
ios013,IoS-013 Portfolio Construction,Process,ALPHA_LAYER,Position Sizing & Allocation,5,FINN,ACTIVE,G4,
ios014,IoS-014 Orchestrator,Process,DATA_LAYER,LARS Orchestrator Integration,1,STIG,ACTIVE,G4,
ios015,IoS-015 Autonomous Execution,Process,ALPHA_LAYER,Autonomous Trade Execution,5,FINN,ACTIVE,G4,
ios016,IoS-016 Economic Calendar,Process,DATA_LAYER,Economic Calendar & Temporal Governance,1,LINE,G4_CONSTITUTIONAL,G4,"IoS-001,IoS-003,IoS-005,IoS-010"
g0,G0 Draft Review,Decision,GATE_LAYER,Owner Submits for Review,6,Owner,GATE,G0,
g1,G1 Technical Review,Decision,GATE_LAYER,STIG Technical Assessment,6,STIG,GATE,G1,
g2,G2 Governance Review,Decision,GATE_LAYER,VEGA Governance Assessment,6,VEGA,GATE,G2,
g3,G3 Audit Review,Decision,GATE_LAYER,VEGA Attestation,6,VEGA,GATE,G3,
g4,G4 CEO Approval,Decision,GATE_LAYER,CEO Final Approval,6,CEO,GATE,G4,
flow1,ios001_to_ios002,Line,,Data Flow,0,,,,"ios001,ios002"
flow2,ios002_to_ios003,Line,,Process Flow,0,,,,"ios002,ios003"
flow3,ios003_to_ios005,Line,,Perception Flow,0,,,,"ios003,ios005"
flow4,ios005_to_ios007,Line,,Calibration Flow,0,,,,"ios005,ios007"
flow5,g0_to_g1,Line,,Gate Flow,0,,,,"g0,g1"
flow6,g1_to_g2,Line,,Gate Flow,0,,,,"g1,g2"
flow7,g2_to_g3,Line,,Gate Flow,0,,,,"g2,g3"
flow8,g3_to_g4,Line,,Gate Flow,0,,,,"g3,g4"
